2025-10-07 17:14:25 | INFO | api_middleware | request_completed | trace_id=335c2821-b03c-4a4f-82bc-0a3d6caac10f | method=GET | path=/healthz | status_code=200 | duration_ms=5.24 | success=True | client_ip=testclient
2025-10-07 17:14:25 | INFO | api_middleware | request_completed | trace_id=690ef1e1-4424-4839-9fce-5cdb7491603a | method=GET | path=/healthz | status_code=200 | duration_ms=3.67 | success=True | client_ip=testclient
2025-10-07 17:14:25 | INFO | api_middleware | request_completed | trace_id=f71dab86-c67a-4034-a7f8-3436a24bd579 | method=GET | path=/ready | status_code=200 | duration_ms=2.19 | success=True | client_ip=testclient
2025-10-07 17:14:25 | INFO | api_middleware | request_completed | trace_id=5125b911-be9a-44e6-82a4-0205842054a5 | method=GET | path=/live | status_code=200 | duration_ms=1.8 | success=True | client_ip=testclient
2025-10-07 17:14:25 | ERROR | api_middleware | request_completed | trace_id=cfb4f260-c4dc-412c-873a-ae9d06cc47f8 | method=POST | path=/api/messages | status_code=500 | duration_ms=72.49 | success=False | client_ip=testclient
2025-10-07 17:14:25 | WARNING | api_middleware | request_completed | trace_id=700d9f23-741f-4ec1-938d-6ff0797e2139 | method=POST | path=/api/messages | status_code=422 | duration_ms=6.38 | success=False | client_ip=testclient
2025-10-07 17:14:25 | WARNING | api_middleware | request_completed | trace_id=61e394ce-b13b-471f-8f9b-a787ad4c173a | method=POST | path=/api/messages | status_code=422 | duration_ms=7.14 | success=False | client_ip=testclient
2025-10-07 17:14:25 | ERROR | api_middleware | request_completed | trace_id=6d7e84fa-4dc1-4ba6-aac2-87e443b8eb50 | method=POST | path=/api/messages | status_code=500 | duration_ms=78.81 | success=False | client_ip=testclient
2025-10-07 17:14:25 | ERROR | api_middleware | request_completed | trace_id=b3c54e1b-ca18-458d-9151-c3f79378154c | method=POST | path=/api/messages | status_code=500 | duration_ms=115.06 | success=False | client_ip=testclient
2025-10-07 17:14:26 | WARNING | api_middleware | request_completed | trace_id=7b5c8895-0451-4114-aec8-94c7c7c823c8 | method=POST | path=/api/messages | status_code=400 | duration_ms=9.27 | success=False | client_ip=testclient
2025-10-07 17:14:26 | ERROR | api_middleware | request_completed | trace_id=1de62dcc-9765-4f0d-aad9-9ec1414de7cc | method=POST | path=/api/messages | status_code=500 | duration_ms=101.07 | success=False | client_ip=testclient
2025-10-07 17:19:49 | INFO | api_middleware | request_completed | trace_id=630fd157-7741-4137-bc54-15281ff4f3a8 | method=GET | path=/healthz | status_code=200 | duration_ms=4.92 | success=True | client_ip=testclient
2025-10-07 17:19:49 | INFO | api_middleware | request_completed | trace_id=9913f7ae-df41-4436-85f5-41c06adb88a2 | method=GET | path=/healthz | status_code=200 | duration_ms=2.51 | success=True | client_ip=testclient
2025-10-07 17:19:49 | INFO | api_middleware | request_completed | trace_id=413f9f78-ec73-4dda-95a0-cb4fe833528f | method=GET | path=/ready | status_code=200 | duration_ms=1.35 | success=True | client_ip=testclient
2025-10-07 17:19:49 | INFO | api_middleware | request_completed | trace_id=184a9ab3-6633-48e9-b5d9-bb734acc08a9 | method=GET | path=/live | status_code=200 | duration_ms=1.9 | success=True | client_ip=testclient
2025-10-07 17:19:49 | ERROR | api_middleware | request_completed | trace_id=f3b64d89-e142-4ba2-afc8-9e1f1f57a1f6 | method=POST | path=/api/messages | status_code=500 | duration_ms=140.48 | success=False | client_ip=testclient
2025-10-07 17:19:49 | WARNING | api_middleware | request_completed | trace_id=332d5516-a2fa-496a-bd5a-cbfc6ec0e746 | method=POST | path=/api/messages | status_code=422 | duration_ms=2.6 | success=False | client_ip=testclient
2025-10-07 17:19:49 | WARNING | api_middleware | request_completed | trace_id=93f80898-4b70-42f0-afce-d6d5037d85a3 | method=POST | path=/api/messages | status_code=422 | duration_ms=2.29 | success=False | client_ip=testclient
2025-10-07 17:19:49 | WARNING | api_middleware | request_completed | trace_id=d2b0af78-c098-492b-a861-78e2f5aaa0a3 | method=POST | path=/api/messages | status_code=404 | duration_ms=24.27 | success=False | client_ip=testclient
2025-10-07 17:19:50 | INFO | api_middleware | request_completed | trace_id=280021e6-6519-495a-8fbb-47d4d26582de | method=POST | path=/api/messages | status_code=200 | duration_ms=138.93 | success=True | client_ip=testclient
2025-10-07 17:19:50 | WARNING | api_middleware | request_completed | trace_id=ffee84fa-9224-4b77-8b7a-b4b538f1df8b | method=POST | path=/api/messages | status_code=400 | duration_ms=8.19 | success=False | client_ip=testclient
